Name,Age,Gender,Address,Loan Access,CRM/ATM Access,Mobile Banking Access,Profession,Disability
Meaza Misgana,37,Female,"Kebele 10, Woreda 6, Hosaena",Michu,Yes,Yes,Health Worker,Yes
Tena Misgana,18,Female,"Kebele 2, Woreda 9, Nekemte",Conventional Loan,Yes,Yes,Student,No
Hiwot Melaku,41,Female,"Kebele 21, Woreda 1, Debre Markos",Michu,Yes,Yes,Farmer,No
Mesfin Yonas,40,Male,"Kebele 22, Woreda 8, Debre Berhan",Michu,No,Yes,Student,Yes
Mamo Leul,37,Male,"Kebele 18, Woreda 3, Bahir Dar",Michu,No,Yes,Teacher,No
Binyam Solomon,59,Male,"Kebele 21, Woreda 10, Dilla",Michu,No,No,Teacher,No
Gebru Yonas,45,Male,"Kebele 7, Woreda 1, Harar",Michu,Yes,No,Teacher,No
Mekonnen Tilahun,20,Male,"Kebele 9, Woreda 1, Harar",Michu,Yes,No,Farmer,No
Hiwot Yesuf,47,Female,"Kebele 22, Woreda 8, Dilla",Conventional Loan,No,Yes,Health Worker,No
Eshetu Endale,26,Male,"Kebele 5, Woreda 7, Shashemene",Michu,No,Yes,Student,Yes
Yonas Yonas,28,Male,"Kebele 14, Woreda 3, Bahir Dar",Conventional Loan,Yes,No,Employed,Yes
Sossina Mulugeta,50,Female,"Kebele 29, Woreda 8, Adama",Michu,No,Yes,Employed,Yes
Mahlet Mesfin,33,Female,"Kebele 6, Woreda 8, Bahir Dar",Conventional Loan,Yes,Yes,Merchant,Yes
Desalegn Leul,50,Male,"Kebele 9, Woreda 4, Jijiga",Michu,No,No,Farmer,Yes
Kidist Eshetu,52,Male,"Kebele 12, Woreda 4, Jimma",Michu,No,No,Farmer,Yes
Haile Kassaye,62,Male,"Kebele 1, Woreda 9, Arba Minch",Michu,No,No,Farmer,Yes
Meron Dawit,22,Female,"Kebele 3, Woreda 3, Mekelle",Michu,Yes,No,Merchant,Yes
Gelila Hussen,35,Female,"Kebele 19, Woreda 7, Shashemene",Michu,No,Yes,Student,No
Gelila Gizachew,38,Female,"Kebele 8, Woreda 9, Jijiga",Michu,No,Yes,Merchant,No
Yonas Desta,70,Male,"Kebele 7, Woreda 4, Dire Dawa",Conventional Loan,Yes,Yes,Teacher,Yes
Adamu Birhanu,46,Male,"Kebele 29, Woreda 5, Dire Dawa",Michu,Yes,Yes,Farmer,Yes
Aster Ermias,21,Female,"Kebele 6, Woreda 3, Shashemene",Conventional Loan,No,No,Employed,No
Zewditu Tadesse,52,Female,"Kebele 23, Woreda 1, Debre Berhan",Conventional Loan,No,Yes,Merchant,Yes
Tigist Mitiku,52,Female,"Kebele 25, Woreda 7, Debre Berhan",Michu,No,No,Health Worker,Yes
Zewdu Wondimu,38,Male,"Kebele 1, Woreda 7, Debre Berhan",Michu,Yes,No,Teacher,No
Tigist Wube,44,Female,"Kebele 2, Woreda 5, Jimma",Kiya,Yes,Yes,Employed,No
Legesse Kidane,18,Male,"Kebele 8, Woreda 7, Harar",Michu,Yes,No,Health Worker,Yes
Hiwot Legesse,62,Female,"Kebele 4, Woreda 5, Debre Berhan",Kiya,Yes,Yes,Merchant,Yes
Hiwot Abraham,21,Female,"Kebele 15, Woreda 4, Mekelle",Conventional Loan,No,Yes,Merchant,No
Zemzem Kidane,21,Female,"Kebele 16, Woreda 5, Jimma",Conventional Loan,Yes,No,Farmer,Yes
Adel Bekele,44,Female,"Kebele 20, Woreda 7, Dilla",Kiya,Yes,No,Merchant,Yes
Habtemariam Tesfaye,45,Male,"Kebele 21, Woreda 5, Hosaena",Michu,No,No,Employed,Yes
Zegeye Yohannes,47,Male,"Kebele 10, Woreda 7, Dessie",Conventional Loan,No,Yes,Health Worker,Yes
Marta Endale,36,Female,"Kebele 19, Woreda 10, Asosa",Conventional Loan,Yes,No,Health Worker,No
Aster Mitiku,43,Female,"Kebele 6, Woreda 7, Debre Markos",Michu,No,No,Student,No
Misrak Redae,64,Female,"Kebele 11, Woreda 5, Hawassa",Kiya,No,No,Health Worker,Yes
Sewit Asnake,26,Female,"Kebele 17, Woreda 8, Nekemte",Michu,Yes,No,Merchant,Yes
Sewit Kidane,22,Female,"Kebele 3, Woreda 3, Bahir Dar",Conventional Loan,Yes,No,Teacher,Yes
Adel Geremew,31,Female,"Kebele 24, Woreda 9, Harar",Kiya,No,No,Employed,Yes
Birhanu Bekele,24,Male,"Kebele 17, Woreda 1, Adama",Michu,No,No,Merchant,Yes
Helina Binyam,26,Female,"Kebele 3, Woreda 8, Hawassa",Kiya,No,Yes,Employed,Yes
Hussen Hailemariam,60,Male,"Kebele 21, Woreda 2, Debre Markos",Conventional Loan,No,No,Health Worker,Yes
Ayisha Tamirat,50,Female,"Kebele 26, Woreda 10, Dessie",Conventional Loan,Yes,No,Health Worker,No
Abiyot Redae,52,Male,"Kebele 12, Woreda 1, Hawassa",Michu,No,Yes,Teacher,No
Mesfin Dagnachew,59,Male,"Kebele 23, Woreda 4, Bahir Dar",Michu,Yes,No,Farmer,Yes
Eden Mekuria,23,Female,"Kebele 12, Woreda 1, Dessie",Conventional Loan,Yes,No,Student,Yes
Misrak Amare,42,Female,"Kebele 11, Woreda 5, Jijiga",Michu,Yes,Yes,Employed,Yes
Lulit Mekonnen,44,Female,"Kebele 25, Woreda 1, Jijiga",Kiya,Yes,Yes,Teacher,Yes
Zerihun Tesfaye,59,Male,"Kebele 20, Woreda 8, Shashemene",Conventional Loan,Yes,No,Employed,Yes
Sossina Tesfu,67,Female,"Kebele 11, Woreda 4, Asosa",Michu,No,Yes,Farmer,Yes
Yeshi Chalachew,61,Female,"Kebele 25, Woreda 5, Arba Minch",Conventional Loan,No,Yes,Health Worker,Yes
Firehiwot Yilma,34,Female,"Kebele 16, Woreda 7, Hosaena",Michu,No,Yes,Teacher,Yes
Magi Mekuria,60,Female,"Kebele 19, Woreda 8, Debre Markos",Kiya,Yes,No,Employed,No
Kebede Demelash,18,Male,"Kebele 14, Woreda 10, Adama",Conventional Loan,Yes,Yes,Farmer,Yes
Meron Leul,69,Female,"Kebele 28, Woreda 9, Bahir Dar",Conventional Loan,No,Yes,Student,No
Sewit Tamrat,54,Female,"Kebele 24, Woreda 3, Dessie",Michu,Yes,Yes,Employed,No
Melaku Biruk,22,Male,"Kebele 27, Woreda 7, Sodo",Conventional Loan,Yes,No,Teacher,Yes
Dagnachew Hailu,63,Male,"Kebele 5, Woreda 9, Debre Markos",Michu,Yes,Yes,Health Worker,Yes
Meseret Andargachew,49,Female,"Kebele 28, Woreda 8, Asosa",Conventional Loan,No,No,Student,Yes
Senait Andargachew,60,Female,"Kebele 27, Woreda 1, Harar",Conventional Loan,Yes,Yes,Employed,Yes
Melaku Wolde,28,Male,"Kebele 22, Woreda 9, Hawassa",Michu,No,No,Farmer,No
Girma Yilma,46,Male,"Kebele 24, Woreda 3, Dilla",Michu,Yes,Yes,Student,Yes
Mihret Henok,33,Female,"Kebele 11, Woreda 9, Hosaena",Conventional Loan,No,No,Student,No
Hiwot Tamirat,54,Female,"Kebele 19, Woreda 3, Debre Markos",Conventional Loan,Yes,No,Farmer,No
Negusu Solomon,26,Male,"Kebele 16, Woreda 6, Harar",Michu,Yes,Yes,Teacher,No
Misrak Nebiyu,48,Female,"Kebele 7, Woreda 7, Hawassa",Michu,No,No,Student,Yes
Selamawit Eshetu,25,Male,"Kebele 12, Woreda 4, Dessie",Michu,Yes,Yes,Farmer,Yes
Habtemariam Kassaye,25,Male,"Kebele 24, Woreda 5, Gondar",Conventional Loan,No,Yes,Employed,Yes
Yeshi Samuel,42,Female,"Kebele 5, Woreda 7, Dilla",Conventional Loan,Yes,Yes,Teacher,No
Wubit Ermias,61,Female,"Kebele 6, Woreda 6, Gondar",Conventional Loan,No,No,Student,No
Bethelhem Birhanu,23,Female,"Kebele 1, Woreda 1, Jimma",Conventional Loan,Yes,No,Health Worker,Yes
Selam Samuel,49,Female,"Kebele 30, Woreda 1, Sodo",Kiya,Yes,No,Student,Yes
Haile Amare,20,Male,"Kebele 12, Woreda 7, Debre Markos",Michu,Yes,Yes,Employed,Yes
Abebech Bekele,51,Female,"Kebele 10, Woreda 7, Dilla",Conventional Loan,Yes,No,Merchant,Yes
Daniel Desalegn,64,Male,"Kebele 25, Woreda 1, Dire Dawa",Conventional Loan,Yes,Yes,Teacher,Yes
Shiferaw Legesse,30,Male,"Kebele 15, Woreda 8, Hosaena",Michu,No,Yes,Health Worker,No
Feven Yared,52,Female,"Kebele 25, Woreda 6, Dilla",Kiya,Yes,Yes,Health Worker,No
Endale Adamu,34,Male,"Kebele 15, Woreda 7, Mekelle",Conventional Loan,No,No,Employed,Yes
Rahel Mekuria,20,Female,"Kebele 6, Woreda 10, Gondar",Kiya,Yes,No,Health Worker,Yes
Zinash Nebiyu,29,Female,"Kebele 20, Woreda 5, Debre Markos",Conventional Loan,Yes,No,Farmer,Yes
Magi Yesuf,36,Female,"Kebele 23, Woreda 2, Jimma",Kiya,Yes,Yes,Teacher,Yes
Zinash Melaku,57,Female,"Kebele 23, Woreda 7, Asosa",Conventional Loan,No,No,Employed,No
Mekdes Kassahun,52,Female,"Kebele 2, Woreda 7, Debre Markos",Kiya,Yes,Yes,Employed,Yes
Tena Haile,52,Female,"Kebele 6, Woreda 2, Dire Dawa",Conventional Loan,Yes,No,Teacher,Yes
Demeke Yohannes,36,Male,"Kebele 20, Woreda 7, Debre Markos",Michu,No,No,Farmer,Yes
Mulugeta Getahun,62,Male,"Kebele 2, Woreda 9, Gondar",Michu,No,Yes,Merchant,Yes
Tariku Tsegaye,23,Male,"Kebele 20, Woreda 8, Gambela",Michu,Yes,Yes,Teacher,Yes
Yonas Hailemariam,38,Male,"Kebele 6, Woreda 6, Debre Berhan",Michu,No,No,Student,No
Ayenalem Birhanu,23,Female,"Kebele 7, Woreda 4, Dire Dawa",Michu,Yes,Yes,Employed,Yes
Magi Mesfin,18,Female,"Kebele 26, Woreda 4, Gambela",Conventional Loan,Yes,Yes,Student,Yes
Mahlet Birhanu,33,Female,"Kebele 6, Woreda 4, Arba Minch",Michu,No,No,Teacher,Yes
Abebe Yonas,49,Male,"Kebele 10, Woreda 1, Dessie",Michu,No,No,Health Worker,Yes
Dagnachew Eshetu,30,Male,"Kebele 26, Woreda 6, Adama",Michu,No,Yes,Health Worker,Yes
Yesuf Berhanu,40,Male,"Kebele 10, Woreda 9, Mekelle",Michu,Yes,Yes,Employed,Yes
Berhanu Yohannes,59,Male,"Kebele 14, Woreda 6, Debre Markos",Conventional Loan,Yes,No,Employed,No
Kidist Daniel,45,Male,"Kebele 14, Woreda 4, Bahir Dar",Michu,Yes,Yes,Student,Yes
Sewit Tadesse,32,Female,"Kebele 7, Woreda 7, Debre Markos",Michu,No,No,Farmer,No
Aster Dagnachew,47,Female,"Kebele 4, Woreda 10, Gondar",Michu,Yes,Yes,Farmer,No
Mesfin Geremew,45,Male,"Kebele 30, Woreda 2, Nekemte",Conventional Loan,No,No,Student,No
Senait Tamirat,59,Female,"Kebele 30, Woreda 4, Asosa",Conventional Loan,Yes,Yes,Employed,No
Zewdu Ermias,57,Male,"Kebele 28, Woreda 6, Dessie",Conventional Loan,Yes,Yes,Health Worker,Yes
Tebarek Yohannes,54,Female,"Kebele 7, Woreda 9, Shashemene",Kiya,Yes,Yes,Merchant,Yes
Leul Yohannes,34,Male,"Kebele 24, Woreda 2, Gondar",Michu,Yes,No,Student,Yes
Abiyot Tariku,59,Male,"Kebele 30, Woreda 10, Jimma",Michu,Yes,No,Student,No
Zewditu Amare,65,Female,"Kebele 27, Woreda 9, Debre Berhan",Kiya,No,No,Farmer,No
Tadese Merid,48,Male,"Kebele 22, Woreda 9, Arba Minch",Conventional Loan,Yes,No,Farmer,No
Luwam Wube,68,Female,"Kebele 3, Woreda 4, Jimma",Conventional Loan,Yes,No,Teacher,Yes
Milki Kassahun,34,Female,"Kebele 15, Woreda 8, Shashemene",Conventional Loan,Yes,Yes,Student,Yes
Tsegaye Andargachew,35,Male,"Kebele 10, Woreda 6, Adama",Michu,Yes,No,Student,No
Atikilt Gebeyehu,64,Female,"Kebele 24, Woreda 6, Adama",Conventional Loan,No,No,Student,Yes
Feven Desalegn,52,Female,"Kebele 16, Woreda 1, Jijiga",Michu,No,Yes,Merchant,No
Dawit Sintayehu,31,Female,"Kebele 5, Woreda 8, Gondar",Conventional Loan,No,No,Employed,Yes
Ermias Geremew,53,Male,"Kebele 10, Woreda 4, Mekelle",Conventional Loan,Yes,Yes,Merchant,No
Tadesse Melaku,53,Male,"Kebele 3, Woreda 8, Debre Markos",Michu,No,Yes,Teacher,Yes
Alemnesh Habtamu,29,Female,"Kebele 3, Woreda 10, Gambela",Michu,No,No,Farmer,Yes
Yesuf Getachew,60,Male,"Kebele 3, Woreda 2, Arba Minch",Conventional Loan,No,Yes,Employed,Yes
Hana Henok,29,Female,"Kebele 24, Woreda 2, Adama",Conventional Loan,No,No,Health Worker,No
Yesuf Yemane,51,Male,"Kebele 19, Woreda 1, Dessie",Michu,Yes,No,Teacher,No
Kidane Mesfin,64,Male,"Kebele 30, Woreda 8, Nekemte",Conventional Loan,No,No,Health Worker,No
Muluken Yonas,51,Male,"Kebele 20, Woreda 1, Jijiga",Michu,No,Yes,Health Worker,No
Dawit Hailu,51,Female,"Kebele 4, Woreda 5, Debre Markos",Kiya,Yes,Yes,Employed,No
Milki Henok,22,Female,"Kebele 21, Woreda 10, Harar",Michu,Yes,No,Student,No
Eden Kassahun,65,Female,"Kebele 17, Woreda 5, Adama",Kiya,No,No,Employed,Yes
Asnake Mengistu,40,Male,"Kebele 11, Woreda 2, Adama",Michu,Yes,No,Farmer,Yes
Worku Kidane,64,Male,"Kebele 19, Woreda 1, Gambela",Michu,No,Yes,Merchant,Yes
Misrak Girma,38,Female,"Kebele 21, Woreda 3, Dire Dawa",Conventional Loan,No,No,Health Worker,Yes
Helina Yared,30,Female,"Kebele 27, Woreda 8, Gambela",Kiya,Yes,No,Farmer,No
Yemane Selamawit,50,Male,"Kebele 13, Woreda 2, Adama",Michu,Yes,Yes,Farmer,Yes
Fekadu Yohannes,36,Male,"Kebele 15, Woreda 10, Nekemte",Michu,Yes,No,Farmer,Yes
Bisrat Gebeyehu,38,Female,"Kebele 4, Woreda 4, Dessie",Michu,Yes,Yes,Student,Yes
Mihret Yesuf,43,Female,"Kebele 24, Woreda 8, Jimma",Kiya,Yes,No,Merchant,Yes
Zegeye Selamawit,43,Male,"Kebele 11, Woreda 4, Bahir Dar",Conventional Loan,No,No,Employed,No
Zebene Endale,34,Female,"Kebele 13, Woreda 7, Harar",Conventional Loan,No,Yes,Student,No
Hayat Yared,26,Female,"Kebele 7, Woreda 1, Dilla",Kiya,Yes,Yes,Student,Yes
Tesfaye Shiferaw,61,Male,"Kebele 17, Woreda 8, Gambela",Michu,No,Yes,Health Worker,No
Tesfu Yohannes,30,Male,"Kebele 27, Woreda 8, Jimma",Michu,Yes,Yes,Merchant,No
Atikilt Tamrat,48,Female,"Kebele 17, Woreda 7, Dire Dawa",Conventional Loan,No,Yes,Merchant,No
Kebede Gebeyehu,47,Male,"Kebele 21, Woreda 8, Dire Dawa",Conventional Loan,No,Yes,Employed,Yes
Tesfaye Adamu,24,Male,"Kebele 2, Woreda 8, Adama",Michu,No,Yes,Student,Yes
Biruk Tadese,37,Male,"Kebele 19, Woreda 3, Hawassa",Conventional Loan,Yes,No,Student,Yes
Yared Gizachew,43,Male,"Kebele 26, Woreda 9, Gambela",Conventional Loan,Yes,No,Farmer,Yes
Eshetu Mesfin,52,Male,"Kebele 23, Woreda 3, Debre Berhan",Michu,Yes,No,Student,Yes
Zebiba Shiferaw,45,Female,"Kebele 20, Woreda 5, Nekemte",Conventional Loan,Yes,Yes,Merchant,No
Kebede Getachew,27,Male,"Kebele 11, Woreda 10, Asosa",Michu,Yes,Yes,Employed,No
Rahel Kebede,24,Female,"Kebele 12, Woreda 10, Dire Dawa",Kiya,No,No,Student,No
Fekadu Adamu,62,Male,"Kebele 29, Woreda 7, Hawassa",Michu,Yes,No,Merchant,No
Hailu Dagnachew,34,Male,"Kebele 24, Woreda 4, Harar",Michu,No,Yes,Farmer,No
Lensa Berhanu,68,Female,"Kebele 29, Woreda 9, Dire Dawa",Michu,No,No,Health Worker,Yes
Mitiku Kibrom,53,Male,"Kebele 26, Woreda 4, Sodo",Conventional Loan,No,No,Farmer,Yes
Yemane Mekuria,24,Male,"Kebele 4, Woreda 7, Arba Minch",Conventional Loan,No,No,Farmer,Yes
Alem Legesse,41,Female,"Kebele 17, Woreda 7, Harar",Kiya,No,No,Employed,Yes
Tadesse Kidist,56,Male,"Kebele 8, Woreda 10, Adama",Michu,No,Yes,Farmer,Yes
Yohannes Abiyot,51,Male,"Kebele 26, Woreda 4, Jijiga",Michu,No,Yes,Health Worker,No
Hayat Nega,22,Female,"Kebele 9, Woreda 4, Mekelle",Conventional Loan,Yes,No,Farmer,Yes
Bereket Binyam,30,Male,"Kebele 9, Woreda 7, Debre Markos",Conventional Loan,Yes,No,Teacher,Yes
Kassaye Habtemariam,57,Male,"Kebele 9, Woreda 7, Harar",Conventional Loan,Yes,Yes,Employed,Yes
Moges Yared,54,Male,"Kebele 27, Woreda 3, Gondar",Michu,Yes,Yes,Health Worker,Yes
Zewditu Negusu,22,Female,"Kebele 7, Woreda 10, Hosaena",Conventional Loan,Yes,Yes,Student,No
Yesuf Asnake,36,Male,"Kebele 25, Woreda 5, Jimma",Michu,No,No,Employed,No
Adanech Melaku,37,Female,"Kebele 10, Woreda 4, Shashemene",Conventional Loan,Yes,No,Employed,Yes
Yilma Negusu,36,Male,"Kebele 20, Woreda 8, Asosa",Conventional Loan,No,No,Merchant,No
Mekonnen Tesfu,26,Male,"Kebele 30, Woreda 7, Asosa",Michu,No,No,Farmer,No
Sifan Abraham,55,Female,"Kebele 11, Woreda 1, Jijiga",Michu,Yes,Yes,Employed,Yes
Abraham Demeke,38,Male,"Kebele 10, Woreda 6, Arba Minch",Michu,No,Yes,Student,Yes
Tariku Wolde,33,Male,"Kebele 16, Woreda 4, Dilla",Michu,No,No,Teacher,Yes
Ruth Mesfin,69,Female,"Kebele 6, Woreda 2, Shashemene",Michu,No,Yes,Teacher,No
Sewit Tamrat,60,Female,"Kebele 20, Woreda 2, Jijiga",Kiya,No,Yes,Employed,Yes
Selam Redae,60,Female,"Kebele 21, Woreda 7, Gondar",Conventional Loan,Yes,Yes,Farmer,Yes
Wube Tamrat,57,Male,"Kebele 11, Woreda 2, Gambela",Conventional Loan,No,Yes,Employed,No
Zewdu Gizachew,25,Male,"Kebele 29, Woreda 3, Adama",Michu,Yes,No,Employed,No
Selamawit Girma,59,Female,"Kebele 3, Woreda 8, Dessie",Conventional Loan,No,No,Teacher,No
Rahel Kassahun,47,Female,"Kebele 12, Woreda 9, Asosa",Conventional Loan,Yes,No,Farmer,Yes
Mahlet Haile,33,Female,"Kebele 7, Woreda 5, Gondar",Conventional Loan,Yes,No,Employed,No
Abraham Zerihun,51,Male,"Kebele 8, Woreda 7, Dire Dawa",Conventional Loan,Yes,Yes,Health Worker,No
Hawi Birhanu,44,Female,"Kebele 24, Woreda 7, Hawassa",Conventional Loan,Yes,No,Health Worker,No
Teshome Eyob,44,Male,"Kebele 22, Woreda 5, Hawassa",Conventional Loan,Yes,Yes,Farmer,No
Tsegaye Hailu,47,Male,"Kebele 24, Woreda 7, Hosaena",Conventional Loan,Yes,Yes,Student,Yes
Tebarek Dawit,34,Female,"Kebele 19, Woreda 5, Mekelle",Michu,No,Yes,Merchant,No
Adamu Asnake,51,Male,"Kebele 11, Woreda 9, Dire Dawa",Michu,Yes,Yes,Student,Yes
Senait Shiferaw,59,Female,"Kebele 19, Woreda 10, Gambela",Conventional Loan,Yes,Yes,Farmer,Yes
Rediet Getachew,68,Female,"Kebele 8, Woreda 10, Debre Markos",Kiya,Yes,Yes,Employed,Yes
Kidist Mekonnen,56,Female,"Kebele 26, Woreda 7, Harar",Kiya,Yes,No,Merchant,Yes
Tadesse Nigussie,59,Male,"Kebele 19, Woreda 3, Dessie",Conventional Loan,Yes,No,Health Worker,Yes
Mesfin Tilahun,59,Male,"Kebele 5, Woreda 2, Arba Minch",Conventional Loan,No,Yes,Farmer,No
Zinash Geremew,50,Female,"Kebele 25, Woreda 4, Dire Dawa",Michu,No,Yes,Student,No
Misrak Endale,19,Female,"Kebele 8, Woreda 5, Mekelle",Conventional Loan,No,Yes,Employed,No
Hirut Eyob,59,Female,"Kebele 28, Woreda 2, Jijiga",Michu,No,No,Teacher,No
Dagnachew Mulugeta,66,Male,"Kebele 30, Woreda 3, Sodo",Michu,Yes,Yes,Merchant,Yes
Mamo Getachew,28,Male,"Kebele 28, Woreda 5, Jimma",Michu,No,No,Student,No
Hiwot Zewdu,43,Female,"Kebele 24, Woreda 3, Hosaena",Kiya,No,No,Merchant,No
Ermias Misgana,19,Male,"Kebele 10, Woreda 1, Debre Markos",Conventional Loan,Yes,No,Teacher,No
Selamawit Solomon,28,Female,"Kebele 17, Woreda 5, Arba Minch",Kiya,No,No,Employed,No
Selam Solomon,58,Female,"Kebele 20, Woreda 10, Asosa",Michu,No,Yes,Health Worker,No
Firehiwot Endale,26,Female,"Kebele 24, Woreda 10, Gondar",Michu,No,No,Health Worker,Yes
Banchi Mengistu,23,Female,"Kebele 13, Woreda 4, Mekelle",Conventional Loan,Yes,No,Merchant,No
Redae Melaku,22,Male,"Kebele 24, Woreda 4, Hosaena",Michu,No,No,Health Worker,Yes
Moges Hailemariam,56,Male,"Kebele 22, Woreda 4, Arba Minch",Michu,No,No,Teacher,Yes
Dinknesh Nega,45,Female,"Kebele 16, Woreda 5, Jijiga",Michu,Yes,No,Farmer,Yes
Lensa Kibrom,36,Female,"Kebele 14, Woreda 4, Shashemene",Kiya,No,Yes,Employed,No
Adel Worku,36,Female,"Kebele 9, Woreda 4, Bahir Dar",Kiya,No,No,Health Worker,No
Wubit Birhanu,67,Female,"Kebele 15, Woreda 6, Shashemene",Michu,No,No,Teacher,Yes
Milki Hailu,69,Female,"Kebele 19, Woreda 4, Harar",Kiya,No,Yes,Farmer,Yes
Girma Bereket,47,Male,"Kebele 23, Woreda 5, Dilla",Michu,No,No,Teacher,No
Yonas Desalegn,21,Male,"Kebele 16, Woreda 5, Hosaena",Conventional Loan,No,No,Merchant,Yes
Banchi Hailu,19,Female,"Kebele 1, Woreda 10, Mekelle",Michu,No,No,Employed,Yes
Yohannes Mulugeta,35,Male,"Kebele 23, Woreda 3, Nekemte",Conventional Loan,No,No,Merchant,Yes
Meseret Mitiku,63,Female,"Kebele 9, Woreda 5, Gambela",Conventional Loan,No,No,Student,No
Redae Abraham,18,Male,"Kebele 16, Woreda 6, Jijiga",Conventional Loan,Yes,Yes,Employed,Yes
Emebet Andargachew,54,Female,"Kebele 20, Woreda 6, Adama",Kiya,No,No,Health Worker,Yes
Tadesse Getnet,34,Male,"Kebele 3, Woreda 5, Dire Dawa",Michu,No,No,Employed,Yes
Bereket Zewdu,53,Male,"Kebele 23, Woreda 1, Gambela",Michu,Yes,Yes,Merchant,Yes
Eyob Leul,62,Male,"Kebele 9, Woreda 5, Gambela",Conventional Loan,No,Yes,Employed,No
Mengistu Gizachew,21,Male,"Kebele 7, Woreda 5, Sodo",Michu,No,Yes,Teacher,Yes
Hailu Melaku,57,Male,"Kebele 4, Woreda 3, Gondar",Conventional Loan,Yes,Yes,Teacher,Yes
Yilma Tsegaye,26,Male,"Kebele 21, Woreda 7, Debre Berhan",Michu,No,Yes,Student,Yes
Kidist Kibrom,58,Male,"Kebele 28, Woreda 6, Gambela",Conventional Loan,Yes,No,Student,No
Mitiku Yared,50,Male,"Kebele 11, Woreda 3, Debre Berhan",Conventional Loan,Yes,Yes,Health Worker,Yes
Bekele Kibrom,65,Male,"Kebele 8, Woreda 9, Bahir Dar",Michu,Yes,Yes,Student,Yes
Muluken Tadesse,52,Male,"Kebele 22, Woreda 9, Shashemene",Michu,No,Yes,Health Worker,Yes
Mihret Zewdu,68,Female,"Kebele 6, Woreda 10, Dire Dawa",Conventional Loan,No,No,Teacher,Yes
Sossina Habtamu,33,Female,"Kebele 14, Woreda 3, Hawassa",Michu,No,Yes,Employed,Yes
Yordanos Abebe,62,Female,"Kebele 19, Woreda 7, Sodo",Michu,No,Yes,Student,Yes
Mengistu Melaku,46,Male,"Kebele 7, Woreda 7, Hawassa",Michu,No,No,Farmer,No
Dinknesh Yemane,49,Female,"Kebele 14, Woreda 6, Debre Markos",Kiya,No,Yes,Teacher,Yes
Alem Zewdu,69,Female,"Kebele 30, Woreda 6, Debre Berhan",Michu,No,No,Health Worker,No
Tamrat Haile,66,Male,"Kebele 26, Woreda 9, Arba Minch",Conventional Loan,No,No,Student,No
Ayenalem Nigussie,70,Female,"Kebele 26, Woreda 7, Debre Markos",Conventional Loan,No,Yes,Health Worker,No
Wube Sisay,21,Male,"Kebele 8, Woreda 2, Asosa",Michu,Yes,No,Employed,Yes
Demelash Yared,59,Male,"Kebele 22, Woreda 2, Adama",Conventional Loan,No,Yes,Merchant,No
Magi Mitiku,66,Female,"Kebele 28, Woreda 3, Dire Dawa",Michu,Yes,Yes,Student,Yes
Wolde Eyob,51,Male,"Kebele 7, Woreda 4, Mekelle",Michu,Yes,No,Farmer,Yes
Biruk Bekele,63,Male,"Kebele 29, Woreda 2, Jijiga",Michu,No,No,Student,Yes
Nebiyu Leul,54,Male,"Kebele 1, Woreda 8, Debre Markos",Michu,Yes,Yes,Health Worker,Yes
Tigist Yemane,37,Female,"Kebele 11, Woreda 3, Debre Markos",Kiya,Yes,Yes,Farmer,No
Tamrat Redae,38,Male,"Kebele 9, Woreda 10, Dessie",Conventional Loan,Yes,Yes,Health Worker,No
Yeshi Geremew,48,Female,"Kebele 6, Woreda 3, Debre Markos",Kiya,No,Yes,Health Worker,No
Mihret Zerihun,29,Female,"Kebele 14, Woreda 9, Gambela",Michu,Yes,No,Employed,No
Alemnesh Endale,39,Female,"Kebele 29, Woreda 10, Jimma",Michu,Yes,No,Merchant,No
Dawit Habtemariam,53,Male,"Kebele 8, Woreda 1, Hawassa",Conventional Loan,No,No,Health Worker,No
Tsegaye Redae,61,Male,"Kebele 2, Woreda 8, Dire Dawa",Michu,No,Yes,Student,No
Merid Mitiku,26,Male,"Kebele 5, Woreda 2, Adama",Michu,No,Yes,Farmer,No
Meaza Habtamu,70,Female,"Kebele 17, Woreda 6, Mekelle",Michu,Yes,No,Farmer,Yes
Lomi Eyob,63,Female,"Kebele 29, Woreda 5, Asosa",Kiya,Yes,Yes,Health Worker,No
Zewditu Asnake,66,Female,"Kebele 21, Woreda 1, Dilla",Michu,Yes,Yes,Merchant,Yes
Kebede Andargachew,44,Male,"Kebele 14, Woreda 2, Dilla",Conventional Loan,No,Yes,Teacher,Yes
Mitiku Selamawit,66,Male,"Kebele 17, Woreda 4, Dessie",Conventional Loan,Yes,No,Employed,No
Hawi Negusu,55,Female,"Kebele 19, Woreda 2, Mekelle",Kiya,No,Yes,Health Worker,Yes
Nardos Mekonnen,22,Female,"Kebele 21, Woreda 4, Asosa",Kiya,Yes,Yes,Teacher,Yes
Yohannes Getnet,30,Male,"Kebele 12, Woreda 3, Hosaena",Conventional Loan,No,Yes,Farmer,Yes
Yemane Gizachew,61,Male,"Kebele 22, Woreda 10, Gondar",Conventional Loan,Yes,Yes,Merchant,No
Gelila Merid,61,Female,"Kebele 30, Woreda 2, Dilla",Michu,Yes,No,Farmer,No
Daniel Biruk,29,Male,"Kebele 15, Woreda 4, Dire Dawa",Conventional Loan,No,No,Farmer,Yes
Tsegaye Tadesse,44,Male,"Kebele 2, Woreda 6, Nekemte",Michu,No,Yes,Teacher,No
