Name,Withdrawal Amount (ETB),Withdrawal Successful
Mitiku Tsegaye,7895.38,Yes
Feven Yemane,9012.43,Yes
Eshetu Samuel,1361.8,Yes
Wube Tariku,9705.98,Yes
Bekele Nigussie,592.4,Yes
Tsegaye Endale,2830.81,Yes
Sara Andargachew,9314.74,Yes
Yemane Merid,7595.63,No
Hussen Mesfin,8634.18,Yes
Zufan Abebe,3625.42,Yes
Bisrat Yilma,9079.42,Yes
Abraham Getachew,6150.24,No
Demelash Tesfaye,9818.92,Yes
Habtemariam Andargachew,1458.11,Yes
Gennet Habtemariam,1492.65,Yes
Yohannes Abebe,3457.22,Yes
Lomi Tadesse,6056.41,Yes
Habtamu Haile,8702.3,Yes
Abigail Legesse,3262.11,Yes
Kidist Mekuria,8632.96,No
Biruk Wondimu,614.04,No
Amare Tamrat,158.8,Yes
Hailu Gebeyehu,5191.59,Yes
Wube Wube,1141.8,No
Meaza Tamrat,217.66,Yes
Mulugeta Yohannes,9465.53,Yes
Luwam Tadese,7583.12,Yes
Meron Yonas,264.55,Yes
Girma Tsegaye,4802.47,Yes
Tamrat Eshetu,7316.84,Yes
Almaz Berhanu,7393.46,No
Kebede Yonas,6712.26,Yes
Mekuria Yesuf,1184.1,Yes
Moges Daniel,7087.32,No
Feven Gebeyehu,5003.76,Yes
Dawit Samuel,9479.44,No
Hailemariam Yonas,7013.84,Yes
Samuel Dagnachew,8383.37,No
Kidist Fekadu,2389.64,Yes
Melaku Biruk,8710.12,Yes
Teshome Tariku,791.74,Yes
Yohannes Tadese,3237.89,Yes
Rediet Fekadu,5981.5,Yes
Desalegn Tsegaye,9680.57,No
Ayisha Tesfu,7229.88,Yes
Amel Tadese,8421.06,Yes
Wondimu Teshome,8196.33,Yes
Zewditu Tilahun,954.36,No
Wolde Gebru,757.65,Yes
Wondimu Yonas,6598.63,No
Hawi Tariku,4851.71,Yes
Sisay Getnet,5791.91,Yes
Lensa Henok,2978.9,Yes
Hailemariam Dawit,7903.18,Yes
Endale Nega,2312.12,Yes
Yonas Tesfu,5671.78,No
Meron Haile,7180.03,Yes
Mekuria Tesfaye,2974.15,Yes
Biruk Bekele,8827.05,Yes
Misrak Kassaye,678.46,No
Adel Kidane,2641.86,Yes
Sossina Tariku,5635.36,Yes
Rahel Zewdu,4797.09,Yes
Binyam Kidane,7517.41,No
Tadesse Endale,166.4,Yes
Eyob Yohannes,3129.83,Yes
Birhanu Abiyot,3044.53,Yes
Dawit Negusu,167.2,Yes
Tebarek Zegeye,8985.0,Yes
Alemnesh Henok,819.53,Yes
Milki Shiferaw,6240.78,Yes
Kidist Solomon,6048.39,No
Lomi Melaku,9381.4,No
Helina Tesfu,9058.2,Yes
Senait Abebe,4275.03,Yes
Nigussie Kibrom,6490.17,Yes
Marta Wondimu,3216.21,Yes
Senait Melaku,3210.21,Yes
Yordanos Wolde,9896.43,Yes
Yeshi Endale,3943.45,Yes
Ruth Yohannes,9318.21,Yes
Almaz Amare,7310.46,Yes
Nigussie Yilma,6304.96,Yes
Tigist Mesfin,7702.84,Yes
Zemzem Kidane,3759.31,Yes
Hayat Hailu,8821.24,Yes
Andargachew Yilma,9214.38,Yes
Habtamu Mitiku,7744.49,Yes
Tigist Kassaye,3524.45,Yes
Nega Solomon,2208.8,Yes
Amel Bereket,8891.89,Yes
Tesfu Samuel,366.14,Yes
Tadesse Mesfin,9729.8,Yes
Senait Mulugeta,9977.2,Yes
Adanech Wondimu,3500.46,Yes
Dawit Redae,4740.03,Yes
Leul Nebiyu,9169.0,Yes
Hiwot Eyob,441.59,Yes
Adamu Sisay,268.27,Yes
Yordanos Getachew,3070.04,Yes
Tena Muluken,6550.84,Yes
Senait Melaku,8125.53,No
Biruk Wondimu,1559.58,Yes
Teshome Andargachew,2916.07,No
Haimanot Girma,9757.17,Yes
Ruth Mesfin,9774.57,Yes
Mihret Tsegaye,9083.48,Yes
Worku Dagnachew,2098.75,Yes
Ayenalem Asnake,6443.67,Yes
Tamirat Nega,9641.77,Yes
Binyam Berhanu,9941.25,No
Wubit Hailemariam,3951.21,Yes
Tsegaye Kidane,3917.84,No
Tinsae Yonas,4225.37,No
Zemzem Hailemariam,2970.41,Yes
Hussen Hailu,4049.07,Yes
Birtukan Sintayehu,6973.49,Yes
Bekele Haile,7113.44,Yes
Biruk Birhanu,904.08,Yes
Senait Zewdu,7785.97,Yes
Luwam Melaku,379.5,Yes
Leul Zeleke,2513.36,No
Teshome Mekuria,1077.13,Yes
Hirut Tamirat,7144.91,Yes
Adel Legesse,614.31,Yes
Dagnachew Abebe,5379.27,Yes
Rediet Fekadu,2596.87,No
Bekele Misgana,5893.43,No
Alemnesh Demelash,6087.72,Yes
Helina Gizachew,5324.4,Yes
Dinknesh Yonas,5151.85,Yes
Sisay Tamirat,2072.15,Yes
Tadesse Dagnachew,3401.07,Yes
Sewit Chalachew,7160.17,Yes
Yesuf Dawit,4399.52,Yes
Gennet Yonas,186.39,Yes
Lensa Birhanu,3289.62,Yes
Hawi Kebede,8365.44,Yes
Hawi Yonas,3283.23,Yes
Abiyot Wube,2359.99,No
Mihret Dawit,9487.01,Yes
Habtemariam Mamo,7016.41,Yes
Zebiba Mamo,9920.23,Yes
Tebarek Hailu,4170.88,Yes
Sisay Demelash,153.59,Yes
Dagnachew Yesuf,890.48,Yes
Ayisha Yared,4073.33,Yes
Tamrat Demelash,3782.54,Yes
Melaku Asnake,595.55,No
Nega Worku,2232.22,Yes
Lulit Redae,2797.76,No
Rahel Nebiyu,5141.84,Yes
Andargachew Eyob,3894.81,Yes
Hirut Mamo,8387.02,No
Gebru Kebede,968.4,Yes
Ayisha Berhanu,2582.43,Yes
Wubit Gebru,5232.68,Yes
Adel Zerihun,4644.8,Yes
Ayisha Getachew,1531.18,Yes
Endale Shiferaw,1878.96,Yes
Tesfu Tamirat,9523.74,Yes
Eshetu Redae,8154.66,Yes
Demelash Abiyot,6916.55,Yes
Rediet Yohannes,9079.52,Yes
Biruk Bekele,515.72,Yes
Tariku Yilma,9601.09,Yes
Tilahun Tariku,3177.87,No
Nigussie Yesuf,4925.57,Yes
Mahlet Daniel,1425.36,Yes
Alemnesh Demelash,1796.3,No
Meaza Gebeyehu,4617.26,No
Lomi Nebiyu,8265.77,Yes
Hewan Demeke,6752.88,Yes
Assefu Worku,111.46,No
Nega Solomon,1823.02,Yes
Mekdes Tesfaye,5047.92,Yes
Hiwot Habtemariam,2444.1,Yes
Wube Yonas,2500.32,Yes
Ermias Tadese,5432.51,Yes
Kibrom Eyob,4675.95,Yes
Nega Chalachew,2240.46,Yes
Yohannes Kassahun,3736.26,Yes
Worku Tadesse,8553.0,Yes
Lensa Getnet,6502.2,Yes
Sewit Negusu,4668.62,Yes
Yared Hailu,4961.42,No
Lensa Desta,2634.76,Yes
Ruth Tamirat,4507.12,Yes
Yewbdar Asnake,2972.15,Yes
Dinknesh Yilma,3218.3,Yes
Tadese Kassaye,6888.83,Yes
Mengistu Mamo,295.03,Yes
Tigist Kibrom,5395.16,Yes
Melaku Desta,1082.51,Yes
Banchi Geremew,8631.01,Yes
Yilma Misgana,8209.44,Yes
Biruk Tilahun,899.52,Yes
Emebet Gebeyehu,5780.88,No
Hussen Redae,6878.57,No
Mekuria Yonas,9021.12,Yes
Mahlet Tesfu,7822.56,No
Wube Yonas,7277.53,Yes
Rediet Adamu,4726.13,No
Daniel Desalegn,5044.4,No
Gelila Tesfaye,2200.96,Yes
Yohannes Selamawit,4216.87,Yes
Nigussie Bereket,748.47,Yes
Amare Kidane,6596.66,Yes
Abigail Yilma,9779.55,Yes
Samuel Desta,3672.78,Yes
Mekonnen Samuel,1883.53,No
Gennet Daniel,7628.76,Yes
Bethelhem Misgana,9469.94,Yes
Desta Abraham,9781.05,Yes
Demelash Haile,381.54,Yes
Meron Birhanu,9257.21,Yes
Sisay Muluken,3176.74,No
Hailemariam Dawit,231.43,Yes
Getachew Samuel,2665.91,No
Adel Tariku,7412.2,Yes
Habtemariam Birhanu,5970.17,Yes
Teshome Melaku,8389.01,Yes
Andargachew Zegeye,9827.04,Yes
Gebru Mengistu,4133.62,Yes
Desalegn Daniel,7715.1,No
Mesfin Andargachew,1675.0,Yes
Selam Birhanu,9455.38,No
Kibrom Muluken,1211.22,No
Eshetu Samuel,8182.05,Yes
Yewbdar Teshome,2193.24,Yes
Yilma Birhanu,5822.62,Yes
Sossina Biruk,3307.1,No
Bekele Yonas,7412.14,Yes
Zinash Nebiyu,700.39,Yes
Shiferaw Tariku,9831.82,Yes
Adel Kidane,3791.41,No
Almaz Tamrat,1906.45,Yes
Yeshi Sisay,8931.78,No
Hayat Wondimu,3486.3,No
Alem Muluken,1661.2,Yes
Zegeye Adamu,2431.0,No
Tigist Geremew,2367.56,Yes
Amel Gebru,1235.56,No
Bisrat Tsegaye,971.97,No
Sewit Worku,9994.04,No
Lomi Desta,8262.13,No
Rediet Fekadu,8168.83,No
Eyerusalem Mulugeta,7806.56,Yes
Eyerusalem Tesfaye,6110.28,Yes
Tigist Kibrom,1486.06,Yes
Tinsae Mulugeta,2378.71,Yes
Daniel Dagnachew,1245.79,Yes
Tsegaye Tilahun,1893.79,Yes
Legesse Yemane,1738.71,No
Sifan Gebru,7510.39,Yes
Firehiwot Teshome,7464.67,Yes
Adel Getnet,7214.33,Yes
Nardos Adamu,7385.83,Yes
Kebede Gebru,8887.25,Yes
Meaza Mamo,4149.98,Yes
Mengistu Daniel,5469.09,Yes
Eyob Getnet,6793.77,Yes
Sara Geremew,7321.18,Yes
Chalachew Kibrom,8091.56,Yes
Birtukan Legesse,2508.38,No
Gizachew Habtamu,3933.27,Yes
Ayantu Gebru,5156.12,Yes
Yemane Hussen,2067.16,No
Zebiba Getnet,1955.47,Yes
Yared Tamrat,5396.82,Yes
Tigist Habtemariam,2291.64,No
Meron Melaku,726.45,Yes
Tebarek Mulugeta,7765.75,Yes
Ayantu Girma,7185.48,Yes
Merid Mamo,2690.52,Yes
Demelash Hailemariam,8126.37,Yes
Kassaye Yilma,9980.1,Yes
Mulu Teshome,7665.5,Yes
Mihret Sisay,8424.14,Yes
Mengistu Abraham,7264.11,Yes
Mamo Yohannes,8933.78,No
Tamirat Solomon,2027.19,No
Daniel Dagnachew,846.29,Yes
Yonas Negusu,6489.59,Yes
Dagmawit Getahun,2265.56,Yes
Tesfaye Hussen,1521.46,Yes
Yonas Kassahun,3393.76,Yes
Wolde Geremew,5966.14,Yes
Zemzem Muluken,6471.86,Yes
Feven Abiyot,4422.25,Yes
Mekonnen Bekele,6279.84,No
Yordanos Yohannes,9131.17,No
Yesuf Tesfaye,6910.87,Yes
Assefu Kidist,7319.1,Yes
Senait Yohannes,6440.21,Yes
Alem Haile,5249.89,Yes
Genet Henok,7503.28,Yes
Kidane Tadesse,396.05,Yes
Zeleke Tamrat,1153.63,Yes
Mulugeta Habtemariam,6862.52,Yes
Firehiwot Mitiku,2370.93,No
Sossina Moges,5819.28,Yes
Mengistu Getachew,5312.56,No
Helina Tamirat,337.85,Yes
Tigist Binyam,4610.76,Yes
Nardos Zewdu,4368.75,Yes
Hayat Kassaye,3896.71,Yes
Adanech Fekadu,8169.75,Yes
Dawit Zegeye,6269.17,Yes
Misrak Misgana,6013.5,No
Zerihun Leul,7973.12,Yes
Zebene Worku,9268.75,Yes
Mamo Binyam,5043.04,Yes
Feven Gebru,769.87,Yes
Ruth Misgana,6326.36,No
Bekele Yemane,7627.11,Yes
Tilahun Kassaye,4881.6,Yes
Sewit Andargachew,5002.51,Yes
Wengel Mekonnen,716.81,Yes
Shiferaw Getnet,5698.05,Yes
Habtemariam Haile,7935.79,Yes
Birtukan Chalachew,442.8,Yes
Getahun Zerihun,3768.3,Yes
Leul Ermias,4896.61,No
Solomon Henok,8688.65,Yes
Tilahun Kassaye,7955.01,Yes
Selam Binyam,2480.08,Yes
Wondimu Zegeye,9264.84,Yes
Magi Yonas,759.68,Yes
Gennet Mulugeta,5674.52,Yes
Tsegaye Andargachew,1305.59,Yes
Solomon Daniel,687.81,Yes
Desalegn Teshome,6300.33,Yes
Rahel Yohannes,5924.03,Yes
Hana Kidist,1656.1,Yes
Tsion Samuel,8314.65,No
Magi Abraham,4623.37,Yes
Habtamu Mitiku,4107.01,Yes
Hirut Kebede,964.71,Yes
Hirut Getnet,9280.44,Yes
Tamrat Leul,8220.76,No
Zegeye Yohannes,6265.24,Yes
Sossina Merid,2817.99,No
Lomi Tesfu,2241.71,No
Naomi Mengistu,8092.92,No
Endale Bekele,6618.62,No
Amel Amare,470.65,Yes
Merid Yonas,7226.19,Yes
Andargachew Leul,6149.48,Yes
Kidist Hailemariam,7760.2,Yes
Fikirte Melaku,9440.14,No
Ermias Kidist,4777.03,Yes
Ayenalem Melaku,3839.96,Yes
Gebru Kibrom,7563.97,No
Tena Mulugeta,5999.61,Yes
Mitiku Demeke,2528.02,Yes
Mihret Getnet,7811.12,Yes
Atikilt Yonas,956.85,Yes
Haimanot Bekele,6783.35,Yes
Rahel Zewdu,4518.91,Yes
Biruk Zegeye,224.02,No
Moges Berhanu,4858.05,Yes
Mekdes Geremew,1881.55,Yes
Sewit Hussen,575.41,Yes
Lulit Fekadu,8939.12,Yes
Zufan Nigussie,1463.45,Yes
Redae Moges,6340.24,Yes
Lensa Kebede,6111.9,No
Desalegn Kidane,6214.34,No
Emebet Andargachew,5220.79,Yes
Eyob Getachew,5839.39,Yes
Endale Dawit,1530.95,Yes
Ermias Kidist,8606.77,Yes
Mihret Eyob,9465.68,Yes
Kibrom Zerihun,7515.12,Yes
Melaku Tesfaye,5316.09,Yes
Abebech Hailu,3671.72,Yes
Zewditu Legesse,8204.13,No
Getahun Kidane,2410.32,Yes
Eyob Getnet,9487.32,Yes
Zewditu Tadesse,7143.85,Yes
Abigail Kebede,4014.08,Yes
Tesfaye Ermias,9279.1,No
Ermias Zeleke,8296.18,Yes
Meseret Fekadu,9263.76,Yes
Kibrom Samuel,2164.97,No
Fikirte Asnake,7694.69,Yes
Gebru Wondimu,3763.41,Yes
Ruth Yonas,7489.12,No
Demelash Gizachew,4656.5,Yes
Hewan Worku,4104.03,Yes
Tigist Eshetu,2001.96,Yes
Helina Redae,9727.7,Yes
Teshome Sisay,801.65,No
Bisrat Eyob,2819.05,Yes
Getahun Demeke,6302.54,Yes
Naomi Melaku,4747.53,Yes
Sintayehu Muluken,4570.39,Yes
Shiferaw Eshetu,3175.46,Yes
Banchi Endale,7663.51,Yes
Mihret Yemane,8204.37,Yes
Bekele Chalachew,8910.27,Yes
Alem Kebede,2811.57,Yes
Bisrat Melaku,6162.81,Yes
Dawit Mesfin,6794.09,No
Mekdes Haile,4259.41,Yes
Kibrom Merid,1476.78,Yes
Hawi Tsegaye,4820.53,Yes
Selam Yonas,5675.35,No
Wengel Zerihun,7791.85,Yes
Gizachew Zeleke,4108.22,Yes
Ermias Habtemariam,3853.42,Yes
Gizachew Asnake,5110.77,Yes
Hana Adamu,6322.43,Yes
Gizachew Yilma,2429.19,Yes
Wolde Habtamu,3673.73,Yes
Mekdes Endale,2764.09,No
Feven Kebede,9758.55,Yes
Feven Desalegn,9727.02,Yes
Dagnachew Abraham,3814.58,Yes
Redae Getahun,9287.12,Yes
Hana Habtamu,2110.23,Yes
Mekonnen Zerihun,6163.0,Yes
Meseret Dawit,8686.4,Yes
Abebe Tamrat,7551.33,Yes
Sewit Andargachew,9373.14,Yes
Leul Sintayehu,7136.37,Yes
Kibrom Desalegn,824.07,No
Birhanu Hailu,116.76,Yes
Rahel Muluken,7848.11,Yes
Leul Zeleke,2313.28,Yes
Legesse Leul,6446.85,Yes
Melaku Yohannes,1265.55,No
Binyam Hussen,1514.97,Yes
Ayenalem Tsegaye,3010.0,Yes
Hussen Tadese,488.77,Yes
Mamo Tamrat,5898.54,Yes
Hussen Solomon,9374.73,Yes
Yared Abiyot,1184.21,Yes
Yeshi Muluken,160.93,Yes
Tilahun Mesfin,9555.53,Yes
Hirut Nebiyu,6409.05,No
Tigist Andargachew,3488.5,Yes
Gebru Mesfin,2179.61,Yes
Eyerusalem Getahun,6709.42,Yes
Gete Yemane,2608.49,No
Hailemariam Wolde,2943.69,Yes
Demelash Tesfaye,5602.47,Yes
Tamirat Fekadu,3111.51,Yes
Rahel Tsegaye,5005.99,No
Kassaye Getachew,4808.39,Yes
Tebarek Mitiku,5395.97,Yes
Sifan Tesfaye,722.94,No
Selam Chalachew,4192.07,Yes
Tadesse Abebe,2501.77,Yes
Lulit Zeleke,5585.69,Yes
Bethelhem Sintayehu,4191.3,Yes
Amel Bekele,2357.18,Yes
Hiwot Kebede,9016.45,Yes
Yeshi Tesfaye,2444.17,Yes
Hussen Mitiku,5697.2,Yes
Eyerusalem Fekadu,2460.92,Yes
Fikirte Habtemariam,1939.28,Yes
Habtemariam Mengistu,6872.04,Yes
Nardos Amare,8532.42,Yes
Samuel Melaku,9069.36,Yes
Lulit Nega,4565.39,Yes
Sisay Tsegaye,861.83,Yes
Legesse Adamu,4659.69,Yes
Berhanu Solomon,1850.06,Yes
Amel Sisay,6523.48,Yes
Demelash Wolde,8631.31,Yes
Zinash Kidist,1735.94,Yes
Wondimu Birhanu,3677.06,Yes
Helina Getachew,3471.43,Yes
Senait Adamu,889.48,No
Tigist Tamrat,885.3,Yes
Yordanos Legesse,7996.52,Yes
Feven Kebede,5323.62,No
Gete Henok,5947.81,Yes
Legesse Zegeye,6542.41,Yes
Emebet Abebe,251.85,Yes
Merid Hussen,3090.73,Yes
Zufan Amare,595.63,Yes
Kidist Andargachew,8713.83,No
Dagmawit Tamrat,502.76,Yes
Yonas Moges,5000.49,Yes
Gebru Merid,6763.11,Yes
Helina Redae,7158.04,Yes
Rediet Mekuria,4271.9,Yes
Zewdu Bekele,714.74,Yes
Firehiwot Kidane,1913.89,No
Lulit Tadese,4622.56,No
Wolde Mitiku,1990.74,Yes
Mekdes Haile,859.49,Yes
Haile Mekuria,3971.22,Yes
Tsion Andargachew,5590.46,Yes
Endale Getachew,9706.24,Yes
Adamu Andargachew,8653.49,Yes
Endale Legesse,9261.94,Yes
Yohannes Yohannes,7228.85,Yes
Nega Melaku,3289.06,Yes
Henok Gebru,1335.5,Yes
Gete Mulugeta,5317.45,Yes
Muluken Getachew,7253.51,No
Hiwot Wondimu,6587.7,Yes
Abiyot Habtemariam,1082.47,Yes
Tinsae Yonas,6890.19,Yes
Desta Girma,8293.71,Yes
Hana Habtamu,4465.25,Yes
Abraham Zerihun,2609.57,Yes
Abraham Adamu,9886.03,No
Abigail Sintayehu,8905.44,Yes
Dawit Chalachew,9118.7,No
Dinknesh Hailu,2250.53,Yes
Shiferaw Habtemariam,3947.83,Yes
Getahun Zerihun,1661.38,Yes
Legesse Zegeye,7906.71,Yes
Worku Leul,6963.61,Yes
Sifan Tesfaye,8177.55,No
Tebarek Mesfin,1862.51,No
Gete Daniel,9420.21,Yes
Hirut Leul,6807.9,Yes
Yilma Tesfu,3034.68,Yes
Getnet Mekonnen,8553.94,Yes
Birhanu Redae,5244.62,Yes
Atikilt Yesuf,1429.19,Yes
Lensa Yonas,4166.23,Yes
Desalegn Geremew,7130.54,Yes
Tsegaye Tadesse,9443.61,Yes
Zewdu Gebeyehu,7157.57,No
Yared Yonas,7123.64,Yes
Bethelhem Dawit,7799.39,Yes
Feven Chalachew,8086.27,Yes
Ayantu Girma,6244.54,Yes
Wengel Habtamu,8614.43,No
Tsion Solomon,1416.57,No
Naomi Gebeyehu,3730.06,Yes
Hiwot Endale,9593.88,Yes
Selam Dagnachew,5828.72,Yes
Lensa Yemane,2790.97,Yes
Bisrat Endale,7005.87,Yes
Adamu Kassahun,7864.06,Yes
Kibrom Eshetu,3871.6,Yes
Demelash Mesfin,7612.44,Yes
Hana Asnake,5121.79,Yes
Yordanos Legesse,3531.72,No
Banchi Yemane,7083.71,Yes
Kebede Gebru,3965.59,Yes
Zewditu Abiyot,7659.61,Yes
Eyerusalem Desalegn,4525.93,Yes
Tesfaye Asnake,2241.87,Yes
Genet Mitiku,6928.36,Yes
Luwam Yilma,8273.73,Yes
Mamo Yilma,3560.15,Yes
Melaku Getachew,3000.23,Yes
Hiwot Tamrat,5387.08,Yes
Zewdu Desalegn,7943.42,Yes
Desta Kassahun,8134.21,Yes
Rediet Nigussie,6868.69,Yes
Mahlet Desta,5927.81,Yes
Kidist Kidist,5790.63,Yes
Wube Zeleke,7271.45,Yes
Zewdu Yonas,1857.04,Yes
Dawit Tariku,1867.9,Yes
Endale Kibrom,9284.67,Yes
Abigail Mekuria,1532.24,Yes
Abebech Samuel,9779.82,Yes
Abebech Geremew,7609.58,Yes
Zewdu Wondimu,706.93,No
Dinknesh Solomon,4259.94,No
Gebru Kibrom,1586.38,Yes
Desalegn Yonas,4492.35,Yes
Firehiwot Kidane,8777.85,Yes
Emebet Amare,4475.66,Yes
Hirut Wondimu,4858.78,Yes
Tamrat Daniel,444.1,No
Endale Henok,9181.41,Yes
Sara Mekuria,9703.22,Yes
Solomon Kassaye,7797.04,No
Andargachew Demelash,4336.25,Yes
Selamawit Tilahun,2000.99,Yes
Naomi Nega,8049.05,Yes
Ermias Henok,1311.91,Yes
Nardos Zewdu,3929.31,Yes
Hiwot Desalegn,5341.09,No
Mesfin Hailemariam,9181.79,No
Yodit Wondimu,2280.9,No
Melaku Kassahun,185.41,Yes
Almaz Gebru,5227.27,Yes
Zerihun Dawit,681.53,No
Luwam Binyam,9226.58,Yes
Alemnesh Gebeyehu,3346.21,Yes
Yonas Abraham,3502.31,Yes
Kidist Asnake,4537.06,Yes
Sossina Geremew,6221.32,Yes
Rediet Wolde,6327.22,Yes
Misgana Muluken,9797.0,Yes
Misgana Abebe,7125.42,Yes
Biruk Tadese,1259.44,Yes
Sewit Chalachew,7368.57,Yes
Gelila Yohannes,2064.48,Yes
Rediet Desalegn,3903.48,Yes
Fekadu Mengistu,7042.39,Yes
Yemane Gebeyehu,3583.64,Yes
Alem Leul,2988.53,No
Wolde Yohannes,6395.5,Yes
Henok Amare,8787.08,Yes
Kibrom Tilahun,881.58,Yes
Tinsae Misgana,8872.59,Yes
Desta Solomon,3107.35,Yes
Nebiyu Negusu,4157.61,Yes
Sisay Kidane,8343.33,No
Magi Mesfin,5880.3,Yes
Hiwot Bekele,8035.58,Yes
Sara Nigussie,1565.48,Yes
Biruk Samuel,5351.51,Yes
Zinash Hussen,7487.71,Yes
Sifan Yonas,5007.29,Yes
Amare Mekonnen,6715.55,Yes
Wondimu Sisay,3021.32,Yes
Selam Zeleke,5406.98,Yes
Sossina Biruk,8531.07,Yes
Amel Yohannes,9796.26,Yes
Nardos Adamu,1343.99,Yes
Mamo Yilma,6984.94,Yes
Samuel Gebru,5481.4,Yes
Getachew Tadese,9442.57,Yes
Tariku Girma,7863.47,Yes
Tinsae Misgana,8676.2,Yes
Yesuf Wolde,1432.3,Yes
Yesuf Melaku,1289.49,Yes
Mekdes Kassahun,9145.22,Yes
Wubit Ermias,9842.5,Yes
Selamawit Mekuria,8503.49,Yes
Yeshi Demelash,8636.55,Yes
Nigussie Tesfu,1954.4,Yes
Amel Yonas,5508.59,Yes
Legesse Mamo,3435.28,No
Bekele Selamawit,9419.56,Yes
Zewdu Nega,5484.45,Yes
Demeke Henok,959.07,Yes
Bereket Mitiku,2489.52,No
Feven Zegeye,9734.59,Yes
Fikirte Tilahun,4163.56,Yes
Samuel Mekuria,3846.6,Yes
Binyam Zegeye,8093.95,Yes
Dagnachew Shiferaw,1689.93,Yes
Lensa Yohannes,847.86,Yes
Haimanot Mitiku,538.61,Yes
Kidane Tamirat,3453.26,Yes
Ayantu Zerihun,1635.71,No
Bisrat Sintayehu,1075.64,Yes
Ayenalem Endale,9379.67,Yes
Kassahun Wolde,2789.71,Yes
Zewditu Mitiku,2014.73,Yes
Yared Misgana,8630.72,Yes
Mihret Yonas,8229.06,Yes
Misrak Mitiku,9342.99,Yes
Habtemariam Getachew,8115.61,No
Zufan Amare,2552.95,Yes
Zerihun Adamu,3200.47,Yes
Hussen Redae,6340.56,Yes
Getnet Tadese,8770.0,Yes
Ayantu Tadesse,5418.69,Yes
Lulit Muluken,2128.25,Yes
Milki Worku,9878.87,Yes
Mekdes Endale,7715.73,Yes
Selamawit Kebede,6705.82,Yes
Mekuria Desalegn,4059.49,Yes
Samuel Getahun,104.82,Yes
Alem Adamu,7693.93,Yes
Misrak Henok,3135.6,Yes
Asnake Nega,7392.96,No
Misrak Melaku,6808.68,No
Emebet Eyob,777.05,Yes
Berhanu Daniel,4615.68,Yes
Kassaye Nebiyu,2231.32,Yes
Tesfaye Selamawit,4697.02,Yes
Feven Nebiyu,523.11,No
Sewit Biruk,7959.86,No
Nega Nigussie,4458.13,Yes
Naomi Demelash,9601.6,Yes
Tinsae Merid,5045.89,Yes
Hawi Girma,3220.13,Yes
Alem Merid,9014.46,Yes
Genet Wolde,7529.05,Yes
Sifan Zegeye,9346.43,No
Sintayehu Teshome,5634.57,Yes
Adamu Biruk,7909.54,Yes
Meron Fekadu,6819.36,Yes
Daniel Wondimu,5724.65,Yes
Selamawit Getachew,9520.41,No
Selam Leul,6708.65,No
Hana Dawit,7894.84,Yes
Rahel Ermias,9360.16,Yes
Bekele Redae,2137.16,Yes
Lomi Zeleke,6163.03,Yes
Bereket Worku,3501.94,Yes
Yohannes Tadese,6214.8,No
Samuel Worku,1334.72,Yes
Biruk Zegeye,164.26,Yes
Abebech Gebeyehu,9918.93,Yes
Mesfin Endale,5721.82,Yes
Yeshi Kibrom,5404.91,Yes
Adel Kidane,8781.45,Yes
Getachew Amare,504.33,Yes
Zemzem Sisay,5127.8,No
Ayenalem Gebru,8157.92,Yes
Zerihun Berhanu,6683.08,Yes
Tesfu Legesse,1152.97,Yes
Rahel Muluken,612.92,No
Tebarek Worku,1808.43,Yes
Getnet Gizachew,7488.32,Yes
Mengistu Asnake,943.69,Yes
Selam Demeke,5441.79,Yes
Dinknesh Kassaye,7318.28,Yes
Yohannes Mesfin,3936.65,Yes
Zewditu Negusu,7696.42,Yes
Leul Worku,2927.28,No
Misgana Tesfaye,9980.7,No
Zegeye Demelash,2574.64,Yes
Yewbdar Hussen,5585.86,No
Nebiyu Tilahun,4134.72,Yes
Magi Kebede,5798.72,Yes
Gebeyehu Getachew,560.52,Yes
Dinknesh Endale,6551.42,Yes
Demeke Kidane,8544.23,Yes
Mengistu Yemane,3483.19,Yes
Yeshi Sisay,3976.97,Yes
Selam Fekadu,256.68,Yes
Zegeye Ermias,7541.7,Yes
Atikilt Yonas,183.77,No
Lulit Tsegaye,1116.47,No
Zewdu Zeleke,1236.03,Yes
Sara Geremew,1255.01,Yes
Daniel Tesfaye,1019.75,Yes
Wengel Zerihun,9767.92,Yes
Geremew Tamirat,7946.75,Yes
Henok Zerihun,4043.46,Yes
Assefu Shiferaw,5344.95,Yes
Yonas Yemane,781.07,No
Wubit Mitiku,6090.2,Yes
Berhanu Kidane,3962.27,Yes
Desalegn Tariku,1341.29,Yes
Getachew Tadese,1835.38,Yes
Desalegn Sintayehu,1669.2,No
Samuel Negusu,9149.89,Yes
Binyam Dagnachew,6906.52,Yes
Rahel Getachew,1568.28,Yes
Demeke Habtemariam,7453.65,Yes
Zeleke Zegeye,5888.57,Yes
Wube Nigussie,9416.45,Yes
Rahel Tesfaye,6747.34,Yes
Abebe Hailu,6977.82,Yes
Sifan Moges,6899.99,Yes
Zebiba Mulugeta,9515.83,Yes
Eden Abiyot,5362.73,Yes
Kassaye Zeleke,3443.89,No
Selamawit Daniel,2146.49,Yes
Dawit Tamirat,9346.12,Yes
Lomi Melaku,8937.66,Yes
Dagnachew Shiferaw,4821.48,Yes
Nigussie Kebede,372.82,No
Zebene Desalegn,6124.03,Yes
Hailemariam Moges,7509.14,Yes
